,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,main_artist,artist_id,song
664,0.62,0.807,8.0,-7.753,1.0,0.0548,0.471,0.108,0.0477,0.579,118.796,audio_features,2s6wCS3vDZFPY9NOTlPXJZ,spotify:track:2s6wCS3vDZFPY9NOTlPXJZ,https://api.spotify.com/v1/tracks/2s6wCS3vDZFPY9NOTlPXJZ,https://api.spotify.com/v1/audio-analysis/2s6wCS3vDZFPY9NOTlPXJZ,353573.0,4.0,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Take Me Home - 2016 Remaster
665,0.777,0.802,9.0,-6.849,0.0,0.0289,0.0301,7.66e-05,0.079,0.775,106.232,audio_features,1qWljl853zJohNzdVFayRD,spotify:track:1qWljl853zJohNzdVFayRD,https://api.spotify.com/v1/tracks/1qWljl853zJohNzdVFayRD,https://api.spotify.com/v1/audio-analysis/1qWljl853zJohNzdVFayRD,224107.0,4.0,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,I Missed Again - 2015 Remaster
666,0.633,0.867,5.0,-5.096,1.0,0.0256,0.384,0.003,0.0555,0.597,94.803,audio_features,58gTIXqsg6sVmAscK3LpKx,spotify:track:58gTIXqsg6sVmAscK3LpKx,https://api.spotify.com/v1/tracks/58gTIXqsg6sVmAscK3LpKx,https://api.spotify.com/v1/audio-analysis/58gTIXqsg6sVmAscK3LpKx,315893.0,4.0,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Inside Out - 2016 Remaster
667,0.758,0.827,4.0,-6.151,0.0,0.0774,0.00326,0.000169,0.0946,0.506,97.515,audio_features,0UUpyDCYzkziXJ1TM4awHM,spotify:track:0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/tracks/0UUpyDCYzkziXJ1TM4awHM,https://api.spotify.com/v1/audio-analysis/0UUpyDCYzkziXJ1TM4awHM,248533.0,4.0,Milli Vanilli,3vRclCt9VnNhYIxFMQCxuM,Blame It on the Rain
668,0.66,0.816,2.0,-6.61,1.0,0.0299,0.168,0.0181,0.0608,0.678,111.346,audio_features,3fH4KjXFYMmljxrcGrbPj9,spotify:track:3fH4KjXFYMmljxrcGrbPj9,https://api.spotify.com/v1/tracks/3fH4KjXFYMmljxrcGrbPj9,https://api.spotify.com/v1/audio-analysis/3fH4KjXFYMmljxrcGrbPj9,263040.0,4.0,Simple Minds,6hN9F0iuULZYWXppob22Aj,Don't You (Forget About Me)
669,0.636,0.939,9.0,-5.551,1.0,0.0837,0.0485,6.69e-06,0.271,0.694,134.937,audio_features,5fqcIHU6DhQtFKVO5XSdQs,spotify:track:5fqcIHU6DhQtFKVO5XSdQs,https://api.spotify.com/v1/tracks/5fqcIHU6DhQtFKVO5XSdQs,https://api.spotify.com/v1/audio-analysis/5fqcIHU6DhQtFKVO5XSdQs,295133.0,4.0,The B-52's,3gdbcIdNypBsYNu3iiCjtN,Roam
670,0.63,0.595,11.0,-14.986,0.0,0.038,0.0434,0.0363,0.0902,0.878,113.561,audio_features,02KLiEs31kxh1krQJezlTL,spotify:track:02KLiEs31kxh1krQJezlTL,https://api.spotify.com/v1/tracks/02KLiEs31kxh1krQJezlTL,https://api.spotify.com/v1/audio-analysis/02KLiEs31kxh1krQJezlTL,317933.0,4.0,Londonbeat,0gcMPgunYh4rX1UOdvZKBn,I've Been Thinking About You
671,0.816,0.379,2.0,-15.615,1.0,0.0734,0.123,0.857,0.0719,0.984,121.598,audio_features,3nPJQORz85OLpMd3ylHiwc,spotify:track:3nPJQORz85OLpMd3ylHiwc,https://api.spotify.com/v1/tracks/3nPJQORz85OLpMd3ylHiwc,https://api.spotify.com/v1/audio-analysis/3nPJQORz85OLpMd3ylHiwc,195587.0,4.0,Javier Martinez,440pXQeLOabcpOsQ04MhXx,Electric Avenue
672,0.683,0.937,9.0,-6.335,1.0,0.0449,0.00481,0.0046,0.07,0.619,104.872,audio_features,0lnxrQAd9ZxbhBBe7d8FO8,spotify:track:0lnxrQAd9ZxbhBBe7d8FO8,https://api.spotify.com/v1/tracks/0lnxrQAd9ZxbhBBe7d8FO8,https://api.spotify.com/v1/audio-analysis/0lnxrQAd9ZxbhBBe7d8FO8,268653.0,4.0,Hanson,0SdiiPkr02EUdekHZJkt58,MMMBop
673,0.651,0.74,2.0,-6.244,1.0,0.0272,0.0862,0.0,0.142,0.615,102.233,audio_features,3Skwc4sh1QHUGcWrFBFWSF,spotify:track:3Skwc4sh1QHUGcWrFBFWSF,https://api.spotify.com/v1/tracks/3Skwc4sh1QHUGcWrFBFWSF,https://api.spotify.com/v1/audio-analysis/3Skwc4sh1QHUGcWrFBFWSF,241733.0,4.0,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,Joyride - Single Version
